"nocontrat";"exposition";"zone";"puissance";"agevehicule";"ageconducteur";"bonus";"marque";"carburant";"densite";"region"
"68285";144951;1;"D";5;1;30;90;1;"D";52;2
"68288";144957;1;"A";11;22;47;55;1;"D";54;13
"68297";144977;1;"C";10;7;47;50;5;"D";25;13
"68314";145006;0.48;"E";6;11;47;76;1;"D";52;5
"68329";145033;1;"C";9;1;56;50;5;"E";53;13
"68331";145037;0.23;"B";8;10;54;50;12;"E";53;13
"68343";145056;0.02;"C";8;2;33;80;11;"E";25;4
"68353";145071;0.14;"D";6;12;51;50;1;"D";52;13
"68356";145075;0.45;"C";4;15;46;50;3;"D";53;13
"68377";145111;1;"C";5;10;42;50;3;"E";53;13
"68381";145120;1;"E";4;4;44;50;1;"E";52;13
"68398";145153;1;"C";7;17;45;50;2;"D";53;13
"68406";145170;1;"C";4;8;45;50;1;"E";24;13
"68412";145180;1;"A";4;6;57;50;2;"E";24;13
"68419";145191;0.33;"E";5;1;30;57;1;"D";11;10
"68423";145200;1;"E";6;4;44;50;12;"D";25;13
"68429";145212;1;"C";5;13;30;51;1;"D";25;12
"68437";145225;1;"C";7;4;49;50;3;"E";25;13
"68440";145229;0.86;"C";7;4;35;51;2;"D";52;12
"68448";145242;0.25;"E";7;11;38;50;1;"D";52;13
"68459";145263;0.98;"C";7;6;30;80;1;"E";52;4
"68484";145315;1;"C";4;5;54;50;2;"E";53;13
"68510";145372;1;"A";5;11;48;50;2;"D";52;13
"68511";145375;0.62;"D";7;7;41;50;5;"D";53;13
"68541";145437;1;"B";7;8;36;50;11;"D";24;13
"68543";145442;1;"C";5;10;37;50;5;"D";24;13
"68548";145452;0.88;"A";8;4;42;50;6;"D";23;13
"68553";145461;0.77;"A";7;0;30;54;12;"D";25;11
"68571";145492;0.71;"B";6;6;29;57;1;"D";52;10
"68595";145532;0.81;"E";11;5;38;50;4;"E";52;13
"68614";145564;1;"E";10;13;51;72;12;"E";24;6
"68619";145573;1;"B";5;9;49;50;5;"D";53;13
"68622";145579;1;"C";6;6;30;57;2;"D";72;10
"68636";145604;0.83;"E";7;7;29;67;1;"D";82;7
"68637";145605;0.16;"E";7;7;29;63;1;"D";82;13
"68644";145616;1;"B";5;9;53;50;2;"D";53;13
"68651";145630;1;"A";5;12;54;50;2;"D";24;13
"68684";145686;0.3;"E";5;13;41;54;1;"D";82;11
"68692";145702;1;"E";6;5;25;50;3;"E";24;13
"68703";145726;1;"C";6;1;36;54;3;"D";24;11
"68716";145757;1;"C";4;2;33;51;2;"E";54;12
"68737";145797;0.74;"C";6;6;32;76;3;"D";82;5
"68740";145803;0.23;"E";4;4;72;55;1;"E";82;13
"68744";145808;1;"B";6;13;42;50;1;"D";24;13
"68749";145817;0.25;"C";4;2;49;58;1;"E";24;13
"68752";145824;0.73;"D";7;13;70;50;1;"E";24;13
"68760";145839;1;"B";7;14;48;50;1;"E";24;13
"68761";145841;0.25;"C";7;7;54;50;11;"D";24;13
"68771";145854;0.14;"D";10;14;51;50;2;"E";11;13
"68790";145889;0.26;"D";7;14;37;60;1;"E";24;9
"68823";145948;1;"C";7;10;37;50;2;"D";52;13
"68852";146002;1;"A";6;2;72;50;1;"E";24;13
"68853";146004;1;"E";5;10;68;72;1;"E";11;6
"68866";146028;0.8;"B";6;6;31;60;5;"E";24;9
"68883";146057;1;"D";11;9;53;50;2;"E";82;13
"68943";146161;1;"C";7;14;22;57;3;"E";82;10
"68957";146187;0.31;"C";7;1;35;50;1;"D";24;13
"68981";146229;0.36;"E";6;16;41;52;2;"E";25;13
"68996";146253;1;"A";4;11;29;59;2;"D";24;13
"69007";146274;0.36;"A";6;15;40;50;1;"D";24;13
"69016";146291;0.47;"A";5;1;27;60;3;"D";24;9
"69026";146307;0.26;"D";6;3;37;50;2;"D";24;13
"69039";146331;1;"C";10;6;46;50;12;"D";53;13
"69050";146352;0.95;"C";7;0;62;50;1;"E";25;13
"69057";146366;0.03;"E";6;8;63;50;2;"D";91;13
"69078";146405;0.09;"E";7;12;44;62;2;"E";53;13
"69084";146416;1;"C";6;5;59;50;2;"D";82;13
"69092";146430;1;"B";10;9;45;95;2;"D";24;1
"69096";146438;1;"B";5;12;29;51;2;"E";52;12
"69105";146453;0.27;"A";8;16;31;80;2;"E";24;4
"69142";146528;0.37;"E";6;10;29;60;5;"E";82;9
"69148";146538;0.09;"B";7;0;35;125;2;"D";52;-1
"69152";146544;0.91;"A";6;8;42;50;1;"D";25;13
"69155";146550;1;"A";6;7;28;76;3;"D";24;5
"69160";146560;1;"D";5;6;29;85;1;"E";11;3
"69171";146581;1;"B";6;10;41;50;1;"E";24;13
"69173";146584;0.54;"C";5;7;28;51;5;"D";24;12
"69183";146605;0.00273224043715847;"E";8;0;43;50;1;"E";52;13
"69195";146626;0.46;"A";4;10;48;50;2;"E";83;13
"69220";146681;0.28;"C";10;12;62;50;2;"E";24;13
"69222";146684;1;"D";5;9;44;50;4;"E";53;13
"69229";146697;0.51;"A";7;16;30;80;1;"E";54;4
"69271";146779;1;"E";6;10;33;50;1;"D";24;13
"69282";146801;1;"B";8;8;50;50;1;"D";24;13
"69298";146827;1;"B";6;10;48;50;1;"D";24;13
"69303";146838;1;"A";7;11;30;57;3;"E";54;10
"69312";146853;0.45;"B";7;3;32;64;2;"E";24;8
"69316";146858;1;"E";6;6;27;54;3;"E";82;11
"69345";146913;1;"C";6;14;44;50;3;"D";24;13
"69355";146932;0.39;"D";6;8;29;60;3;"E";52;9
"69363";146946;0.94;"C";5;13;29;51;2;"E";24;12
"69381";146981;0.15;"C";4;5;78;50;6;"E";26;13
"69411";147036;0.54;"D";9;8;33;76;3;"E";53;5
"69434";147075;0.77;"E";7;0;77;50;2;"E";25;13
"69463";147123;1;"D";4;6;40;50;6;"E";53;13
"69488";147169;1;"C";7;1;39;50;13;"D";24;13
"69512";147220;0.98;"C";5;9;31;55;2;"D";53;13
"69521";147233;1;"C";4;2;61;50;2;"E";53;13
"69549";147284;1;"C";7;2;35;50;1;"E";82;13
"69563";147314;1;"A";8;5;27;59;4;"E";52;13
"69607";147400;0.4;"F";7;12;33;50;3;"E";11;13
"69617";147416;0.22;"F";4;15;41;67;1;"E";11;7
"69620";147422;0.11;"A";8;9;41;54;13;"D";74;11
"69657";147489;1;"A";6;4;64;50;3;"E";24;13
"69673";147517;0.25;"A";7;10;38;51;1;"E";93;12
"69691";147549;0.07;"B";4;4;33;54;5;"E";52;11
"69693";147552;0.75;"F";5;6;28;76;2;"E";11;5
"69724";147608;1;"E";6;7;30;57;3;"E";53;10
"69767";147688;1;"D";5;9;59;50;6;"E";52;13
"69777";147710;0.81;"E";4;16;30;72;2;"E";82;6
"69780";147717;0.21;"C";6;5;46;50;1;"D";52;13
"69797";147744;0.67;"C";7;14;38;50;10;"E";52;13
"69860";147854;0.59;"B";6;5;55;50;1;"D";52;13
"69862";147857;0.48;"E";4;1;30;54;1;"E";93;11
"69879";147891;0.4;"C";6;9;35;50;1;"E";53;13
"69887";147909;1;"A";8;14;43;50;2;"D";24;13
"69908";147949;1;"C";5;8;42;50;1;"E";52;13
"69941";148005;1;"A";7;10;34;50;1;"E";24;13
"69976";148069;1;"D";5;5;54;50;2;"D";53;13
"69996";148102;1;"A";6;8;29;80;13;"E";24;4
"70001";148109;0.01;"A";7;6;59;50;1;"D";24;13
"70016";148140;0.4;"C";7;9;32;57;1;"E";24;10
"70030";148164;1;"A";6;15;45;50;2;"E";24;13
"70032";148168;0.21;"C";4;11;43;50;14;"E";24;13
"70034";148171;1;"A";4;5;55;50;2;"E";24;13
"70041";148185;0.8;"D";4;5;46;54;2;"E";11;11
"70056";148210;0.15;"B";5;2;52;50;5;"E";53;13
"70074";148248;1;"E";10;28;52;50;5;"D";52;13
"70078";148255;0.16;"A";7;14;35;50;1;"E";24;13
"70083";148265;0.01;"D";12;12;46;50;10;"D";52;13
"70091";148277;0.72;"A";6;2;55;50;2;"E";24;13
"70092";148278;0.27;"A";6;0;55;50;2;"E";24;13
"70094";148282;1;"A";5;4;60;50;2;"E";24;13
"70105";148304;1;"D";8;16;47;50;6;"D";52;13
"70121";148331;0.98;"D";6;10;31;50;3;"E";11;13
"70132";148353;1;"C";4;9;74;50;3;"E";24;13
"70157";148397;1;"C";7;8;43;50;11;"D";25;13
"70174";148429;0.12;"D";6;6;40;50;13;"D";53;13
"70189";148459;1;"E";4;9;51;57;6;"E";24;10
"70201";148481;0.83;"E";4;1;36;50;2;"E";53;13
"70204";148486;0.11;"A";5;11;27;90;3;"D";24;2
"70209";148495;1;"B";5;18;61;50;1;"E";24;13
"70215";148507;1;"A";4;7;33;54;2;"E";82;11
"70224";148523;1;"B";7;9;56;50;12;"D";24;13
"70260";148590;0.37;"D";7;3;33;72;10;"E";53;6
"70303";148666;0.1;"C";9;12;35;57;10;"D";24;10
"70306";148673;0.07;"C";7;8;41;50;3;"E";53;13
"70333";148718;1;"A";4;6;35;63;5;"E";24;13
"70363";148774;0.12;"A";5;4;29;64;3;"D";24;8
"70373";148788;0.75;"C";5;2;64;50;3;"D";24;13
"70401";148840;0.15;"B";6;11;28;85;6;"D";11;3
"70410";148859;0.08;"E";4;6;31;68;2;"D";31;7
"70412";148862;0.09;"D";9;10;29;68;1;"E";24;7
"70444";148925;0.01;"E";7;17;87;95;1;"E";52;1
"70460";148961;1;"C";5;5;53;50;5;"D";24;13
"70483";149005;0.98;"D";6;3;34;51;2;"E";82;12
"70488";149015;1;"D";7;4;56;50;2;"D";24;13
"70496";149027;0.68;"A";7;17;51;50;2;"D";53;13
"70518";149060;0.54;"B";5;14;28;90;3;"E";52;2
"70525";149073;0.16;"C";5;3;32;57;1;"D";54;10
"70532";149088;1;"B";6;5;31;54;1;"D";53;11
"70544";149108;0.21;"D";6;8;61;64;1;"E";82;8
"70554";149126;1;"C";6;5;53;50;2;"D";82;13
"70585";149180;0.24;"C";6;3;41;60;2;"D";24;9
"70599";149205;0.5;"C";4;7;30;72;5;"E";82;6
"70613";149231;1;"B";6;13;40;50;2;"D";53;13
"70627";149257;0.25;"D";11;8;43;50;1;"E";52;13
"70637";149274;0.62;"C";6;14;44;50;12;"E";23;13
"70655";149303;0.26;"A";5;4;30;64;1;"E";54;8
"70669";149326;0.24;"C";7;6;58;50;1;"E";53;13
"70717";149419;1;"C";4;9;29;60;2;"E";52;9
"70719";149424;1;"D";6;4;36;80;1;"E";53;4
"70752";149494;1;"D";4;5;33;72;1;"E";82;6
"70753";149496;0.43;"A";7;13;42;50;1;"E";24;13
"70769";149525;1;"A";7;12;53;50;2;"E";52;13
"70772";149531;1;"A";4;11;31;50;1;"E";24;13
"70784";149554;1;"D";6;8;32;50;3;"E";82;13
"70846";149677;1;"A";5;10;28;60;2;"D";24;9
"70849";149682;1;"C";6;9;48;80;1;"D";82;4
"70895";149767;0.23;"E";5;12;51;50;1;"E";82;13
"70902";149782;1;"B";6;7;47;50;1;"D";24;13
"70908";149793;0.04;"C";4;13;27;76;5;"E";54;5
"70909";149794;1;"C";5;8;66;50;2;"E";54;13
"70910";149796;0.01;"A";9;8;30;68;2;"E";24;7
"70914";149801;0.75;"B";7;2;35;50;1;"D";52;13
"70927";149830;1;"E";5;6;28;57;1;"E";25;10
"70972";149913;1;"C";4;7;37;50;4;"D";53;13
"71008";149982;0.45;"C";5;8;31;60;5;"D";52;9
"71023";150008;0.72;"C";6;8;33;57;2;"D";52;10
"71048";150052;0.5;"B";8;5;44;55;2;"D";24;13
"71052";150061;1;"C";7;5;44;50;1;"D";52;13
"71053";150063;1;"A";6;11;36;50;1;"D";52;13
"71063";150078;0.12;"B";5;7;27;76;1;"D";23;5
"71091";150129;1;"C";4;16;31;80;2;"E";54;4
"71096";150138;0.42;"C";5;14;54;50;1;"E";91;13
"71123";150184;0.66;"B";7;13;39;50;2;"E";11;13
"71135";150207;0.3;"C";6;2;33;54;5;"D";53;11
"71140";150215;0.58;"C";4;10;57;62;1;"E";53;13
"71141";150216;0.41;"C";4;10;57;52;1;"E";53;13
"71191";150307;0.83;"A";8;16;29;57;11;"E";24;10
"71251";150414;0.94;"E";6;6;30;90;3;"D";11;2
"71264";150439;0.42;"D";4;1;38;50;3;"D";53;13
"71274";150459;0.38;"E";5;12;21;50;5;"D";24;13
"71329";150564;1;"B";6;9;43;50;1;"D";24;13
"71339";150583;1;"C";7;6;52;72;2;"D";82;6
"71344";150594;0.48;"E";5;9;66;58;2;"D";52;13
"71360";150618;0.45;"D";10;12;38;64;2;"D";24;8
"71365";150625;0.3;"A";11;7;47;50;2;"E";24;13
"71392";150675;0.25;"A";4;9;53;69;4;"D";24;6
"71401";150694;1;"D";4;8;45;55;1;"E";52;13
"71405";150701;1;"C";6;13;37;54;2;"D";31;11
"71442";150763;0.25;"A";7;6;58;50;10;"D";24;13
"71455";150787;0.98;"C";4;11;39;50;1;"E";53;13
"71457";150790;0.38;"B";6;8;35;50;1;"D";52;13
"71458";150791;0.5;"B";5;14;35;50;12;"E";52;13
"71465";150804;0.22;"A";7;2;41;50;5;"E";24;13
"71481";150835;1;"A";7;4;54;50;2;"E";24;13
"71501";150870;1;"E";8;13;47;50;12;"E";52;13
"71517";150897;0.42;"B";5;12;57;50;5;"E";83;13
"71537";150930;0.96;"D";4;4;30;50;6;"E";52;13
"71567";150987;0.12;"D";4;1;48;50;1;"E";52;13
"71581";151010;0.03;"D";5;2;52;81;5;"D";54;3
"71594";151034;1;"A";7;5;70;50;1;"D";24;13
"71651";151132;0.09;"C";5;10;33;80;4;"E";82;4
"71655";151141;0.24;"D";6;8;35;50;1;"D";24;13
"71657";151144;1;"A";6;8;51;50;3;"D";24;13
"71661";151154;0.37;"D";8;20;26;90;2;"D";54;2
"71665";151160;0.28;"D";4;4;54;68;5;"E";24;7
"71682";151193;1;"E";5;2;34;50;3;"E";53;13
"71683";151195;0.53;"C";5;43;64;50;1;"E";24;13
"71698";151221;0.04;"C";5;0;68;50;5;"E";53;13
"71705";151232;1;"D";6;3;46;58;12;"E";53;13
"71706";151234;0.2;"F";9;11;41;50;2;"E";11;13
"71709";151238;0.67;"B";8;18;39;50;1;"D";24;13
"71720";151257;0.19;"C";5;6;46;50;3;"D";24;13
"71727";151270;0.7;"A";6;7;34;50;2;"D";52;13
"71760";151323;1;"A";7;8;60;50;2;"D";24;13
"71801";151402;0.52;"B";6;5;62;50;2;"D";24;13
"71807";151416;0.00546448087431694;"D";5;7;79;50;1;"E";24;13
"71814";151430;1;"C";7;4;57;50;4;"E";24;13
"71863";151522;1;"E";5;11;27;85;2;"D";52;3
"71880";151556;0.74;"A";9;1;44;50;3;"E";24;13
"71882";151559;0.86;"E";7;5;60;56;5;"D";93;13
"71883";151560;0.1;"D";7;2;22;112;5;"E";93;-1
"71888";151569;0.37;"B";6;12;47;54;1;"D";25;11
"71892";151574;0.06;"E";7;16;52;50;11;"D";52;13
"71921";151626;1;"C";4;12;36;54;2;"E";82;11
"71957";151686;0.08;"B";7;4;53;50;4;"E";54;13
"71964";151699;1;"B";5;13;44;50;2;"D";25;13
"71971";151709;0.4;"D";4;17;27;185;1;"E";24;-1
"71994";151745;0.78;"D";6;6;33;54;1;"D";82;11
"71999";151755;1;"C";7;6;61;50;1;"E";24;13
"72001";151758;0.4;"A";6;19;56;50;3;"D";24;13
"72010";151776;0.87;"A";7;8;62;50;1;"E";24;13
"72024";151803;0.71;"A";9;14;35;50;2;"E";24;13
"72053";151853;0.96;"C";5;13;29;57;2;"E";52;10
"72091";151920;0.44;"C";7;13;34;72;5;"E";24;6
"72092";151922;1;"C";6;16;54;50;1;"E";24;13
"72106";151952;0.03;"D";4;1;72;50;1;"E";24;13
"72110";151961;0.14;"C";4;10;57;68;1;"D";52;7
"72115";151971;1;"A";7;12;41;50;1;"E";24;13
"72148";152027;1;"B";4;5;39;50;11;"D";54;13
"72189";152096;1;"E";6;6;53;57;3;"D";24;10
"72191";152100;0.04;"D";6;4;26;90;2;"D";24;2
"72206";152123;1;"A";4;9;45;50;1;"E";24;13
"72215";152140;0.04;"B";8;15;35;72;11;"E";24;6
"72255";152212;0.92;"C";4;10;42;50;1;"E";24;13
"72285";152262;1;"B";7;13;52;50;2;"D";24;13
"72317";152317;1;"C";6;2;34;57;5;"E";24;10
"72338";152355;0.01;"D";7;5;52;50;1;"D";24;13
"72343";152364;0.11;"F";6;3;47;68;6;"E";11;7
"72345";152367;1;"A";4;13;34;50;2;"E";24;13
"72350";152376;0.9;"C";6;7;63;50;1;"E";53;13
"72380";152430;1;"B";7;9;80;50;2;"E";24;13
"72381";152432;0.33;"C";6;16;52;50;3;"E";53;13
"72388";152441;0.61;"C";4;1;51;50;1;"E";53;13
"72396";152457;1;"E";7;13;44;64;1;"E";82;8
"72402";152469;0.12;"A";6;9;29;64;2;"E";24;8
"72414";152498;1;"A";7;12;36;50;2;"E";24;13
"72458";152575;0.46;"E";6;7;33;50;2;"D";24;13
"72468";152592;1;"B";5;4;75;50;1;"E";24;13
"72487";152631;0.43;"C";7;11;32;50;2;"E";82;13
"72491";152639;1;"C";6;2;53;50;3;"E";24;13
"72508";152663;0.14;"C";5;2;26;90;3;"D";24;2
"72522";152689;0.19;"D";6;3;26;95;1;"D";54;1
"72548";152733;1;"D";5;5;33;60;4;"D";22;9
"72600";152828;0.21;"B";4;23;43;66;1;"E";52;7
"72625";152874;1;"B";4;9;42;50;6;"E";24;13
"72635";152892;1;"C";7;10;30;50;2;"D";53;13
"72647";152916;0.24;"C";5;10;46;64;2;"D";24;8
"72664";152941;0.51;"C";4;18;69;50;5;"E";24;13
"72677";152967;0.11;"A";10;8;41;50;12;"D";24;13
"72680";152972;0.03;"D";7;12;49;50;2;"E";24;13
"72696";152997;1;"C";5;10;29;60;2;"D";24;9
"72698";153001;0.25;"E";7;15;21;50;3;"E";24;13
"72714";153026;1;"D";4;12;68;59;1;"E";82;13
"72736";153062;0.27;"D";7;4;37;91;6;"E";52;1
"72742";153070;0.51;"A";6;10;39;52;1;"D";24;13
"72755";153095;1;"F";7;6;52;64;1;"E";11;8
"72763";153108;1;"B";5;8;29;90;2;"D";52;2
"72768";153121;0.19;"C";7;6;39;68;1;"D";24;7
"72783";153148;1;"A";6;9;42;50;1;"D";53;13
"72789";153160;0.27;"D";7;11;31;90;5;"E";54;2
"72794";153166;0.17;"C";6;9;41;72;1;"E";24;6
"72801";153179;1;"A";11;11;50;50;1;"E";24;13
"72809";153192;0.24;"B";6;6;36;52;1;"D";52;13
"72811";153194;0.03;"B";6;6;36;52;1;"D";52;13
"72828";153223;0.49;"E";5;14;28;95;1;"D";24;1
"72830";153226;1;"D";6;1;60;50;1;"D";24;13
"72853";153266;0.55;"A";6;7;26;72;2;"D";24;6
"72855";153269;1;"E";4;17;48;50;1;"E";11;13
"72864";153284;0.32;"E";6;12;51;50;1;"E";25;13
"72866";153287;1;"A";9;8;47;50;12;"D";24;13
"72878";153308;0.17;"B";6;4;35;57;2;"D";24;10
"72880";153311;0.08;"F";5;11;32;76;1;"E";11;5
"72892";153332;0.12;"D";7;15;29;90;2;"D";24;2
"72940";153410;1;"C";5;6;48;60;1;"E";53;9
"72942";153414;1;"D";6;6;47;50;2;"D";52;13
"72989";153501;0.51;"B";7;10;41;60;5;"E";24;9
"72995";153508;0.06;"D";12;22;36;68;10;"D";54;7
"72996";153509;0.39;"D";8;25;36;64;10;"D";54;8
"73011";153539;1;"C";5;2;29;80;1;"D";24;4
"73019";153554;1;"C";7;6;37;50;2;"E";24;13
"73030";153573;0.2;"F";4;9;45;54;4;"E";11;11
"73035";153586;0.87;"E";10;5;66;50;1;"E";82;13
"73050";153608;1;"B";7;13;39;50;1;"E";24;13
"73070";153641;1;"A";9;12;58;50;3;"E";82;13
"73078";153653;0.1;"C";7;0;29;80;4;"D";53;4
"73092";153678;1;"D";7;4;52;50;4;"E";93;13
"73094";153682;1;"C";7;7;56;50;1;"D";53;13
"73095";153684;0.44;"E";5;7;60;50;1;"E";82;13
"73104";153700;0.42;"D";7;3;25;125;1;"D";24;-1
"73112";153709;0.69;"D";6;8;29;60;1;"D";25;9
"73114";153712;0.15;"C";7;0;53;50;11;"D";53;13
"73122";153728;1;"D";5;7;52;50;1;"E";24;13
"73135";153751;1;"A";7;15;51;50;2;"E";24;13
"73146";153771;1;"E";10;8;30;64;10;"D";82;8
"73150";153780;1;"C";6;9;35;50;2;"D";25;13
"73160";153798;0.3;"C";9;16;43;65;1;"E";24;7
"73166";153805;0.08;"E";7;13;53;50;2;"E";24;13
"73185";153839;1;"B";4;2;54;50;1;"E";24;13
"73198";153863;1;"B";7;3;71;64;2;"E";26;8
"73215";153891;0.51;"D";4;11;47;85;1;"E";53;3
"73220";153900;0.1;"D";8;7;47;57;1;"D";24;10
"73224";153906;1;"A";4;1;64;50;1;"E";24;13
"73233";153919;0.71;"C";5;7;71;50;1;"E";53;13
"73242";153933;1;"C";5;17;33;63;3;"D";24;13
"73247";153942;0.03;"D";5;2;45;50;2;"D";11;13
"73252";153953;0.53;"C";5;6;34;68;3;"D";52;7
"73256";153959;1;"B";11;3;37;51;12;"E";24;12
"73268";153982;1;"D";8;5;52;50;2;"D";54;13
"73279";154001;0.54;"B";10;25;45;68;10;"D";54;7
"73290";154019;0.49;"B";9;10;34;50;10;"D";24;13
"73301";154041;0.51;"D";6;5;22;72;2;"D";22;6
"73314";154064;0.32;"C";4;12;30;76;1;"D";52;5
"73340";154112;0.8;"B";6;9;46;50;1;"D";24;13
"73344";154120;1;"B";8;19;36;50;1;"D";24;13
"73365";154159;1;"D";7;7;46;50;2;"E";24;13
"73374";154180;0.53;"E";13;7;76;50;1;"E";11;13
"73386";154202;0.4;"C";7;12;50;50;2;"D";24;13
"73398";154219;0.61;"D";4;4;58;50;1;"E";52;13
"73424";154265;1;"C";7;16;67;50;1;"E";53;13
"73466";154339;0.17;"E";7;15;43;72;1;"E";82;6
"73470";154346;0.66;"D";4;8;31;64;4;"E";54;8
"73471";154347;0.2;"D";4;8;31;64;4;"E";54;8
"73487";154374;1;"E";7;2;55;53;2;"E";82;13
"73488";154375;1;"A";7;12;44;50;5;"E";24;13
"73491";154381;1;"B";6;7;54;50;2;"E";24;13
"73503";154399;0.6;"E";5;4;44;68;1;"D";82;7
"73549";154483;0.71;"C";7;4;64;50;2;"E";24;13
"73561";154503;1;"A";4;12;28;54;13;"E";24;11
"73570";154517;0.5;"C";5;10;28;85;2;"E";24;3
"73603";154575;1;"E";5;1;57;50;1;"D";82;13
"73657";154667;1;"C";6;11;57;50;1;"D";53;13
"73703";154749;1;"C";5;9;59;50;2;"D";53;13
"73711";154764;0.81;"A";7;2;44;50;1;"D";52;13
"73722";154785;1;"B";4;1;52;64;2;"E";25;8
"73728";154800;1;"B";6;2;31;64;3;"E";24;8
"73729";154802;0.74;"C";7;9;59;50;1;"D";53;13
"73748";154831;0.63;"F";6;2;41;51;2;"E";11;12
"73755";154842;0.48;"E";5;7;28;80;1;"E";53;4
"73760";154851;0.03;"E";6;3;26;85;3;"E";42;3
"73766";154861;1;"A";5;9;29;64;2;"E";24;8
"73779";154887;0.9;"C";6;1;27;68;1;"E";82;7
"73780";154890;0.83;"E";6;10;27;72;1;"D";91;6
"73781";154891;1;"C";7;16;59;50;2;"D";24;13
"73783";154894;0.18;"E";7;4;27;76;6;"E";52;5
"73832";154977;0.03;"C";8;0;29;72;5;"E";24;6
"73844";154998;1;"C";5;10;32;64;5;"D";24;8
"73850";155011;0.35;"D";7;7;36;60;3;"E";11;9
"73861";155030;0.6;"B";4;12;26;57;2;"E";54;10
"73869";155046;0.15;"B";11;0;50;50;1;"D";26;13
"73875";155060;1;"C";6;17;38;50;1;"E";52;13
"73897";155100;1;"C";7;6;39;50;1;"D";24;13
"73907";155120;0.85;"B";6;9;44;50;1;"D";24;13
"73915";155139;0.69;"C";6;2;62;60;2;"D";26;9
"73921";155147;0.17;"B";5;4;54;50;1;"E";24;13
"73930";155162;0.33;"E";5;6;32;85;5;"E";82;3
"73970";155236;0.39;"D";7;0;38;53;1;"D";24;13
"74003";155302;1;"E";5;6;25;80;1;"E";11;4
"74007";155310;1;"C";7;14;51;50;2;"E";24;13
"74016";155327;1;"D";6;12;47;50;1;"E";24;13
"74034";155357;1;"C";8;2;64;50;1;"E";53;13
"74045";155379;1;"C";10;5;64;50;10;"E";53;13
"74052";155391;0.81;"C";5;3;34;95;6;"E";24;1
"74059";155401;0.12;"A";7;6;40;50;11;"D";24;13
"74108";155483;0.22;"C";8;13;37;50;1;"D";25;13
"74129";155518;0.00273224043715847;"B";5;13;32;51;1;"D";24;12
"74145";155544;0.01;"A";4;10;31;88;3;"D";24;2
"74150";155551;0.5;"C";6;4;43;50;13;"D";52;13
"74157";155567;0.68;"A";6;4;36;55;2;"D";24;13
"74171";155590;0.3;"A";7;7;31;54;2;"E";24;11
"74293";155810;0.01;"E";5;5;75;83;4;"E";53;3
"74298";155818;1;"D";6;2;74;50;1;"E";24;13
"74314";155848;0.03;"B";6;2;36;90;2;"D";24;2
"74331";155883;0.06;"D";7;10;47;72;1;"D";24;6
"74333";155886;0.94;"B";6;1;26;68;1;"E";52;7
"74368";155949;0.33;"E";7;8;38;54;6;"E";82;11
"74371";155953;0.43;"C";6;0;41;50;2;"D";24;13
"74374";155958;1;"C";9;15;68;50;10;"D";53;13
"74394";155995;1;"C";6;4;61;50;2;"D";54;13
"74397";156000;0.94;"A";7;2;31;50;2;"E";26;13
"74408";156021;0.04;"C";6;10;52;50;1;"D";24;13
"74416";156035;0.59;"C";5;12;36;54;2;"D";93;11
"74429";156060;0.03;"A";6;8;40;50;6;"E";24;13
"74433";156065;0.43;"A";6;4;36;51;2;"D";82;12
"74443";156085;1;"E";6;12;73;50;13;"E";93;13
"74446";156090;1;"A";7;1;34;62;1;"D";24;13
"74475";156143;1;"A";4;10;54;50;2;"E";53;13
"74481";156156;0.12;"C";5;4;27;95;2;"D";52;1
"74502";156199;1;"B";7;15;46;60;1;"E";82;9
"74528";156247;1;"C";8;12;43;50;3;"D";24;13
"74540";156269;0.12;"A";5;1;67;50;5;"D";24;13
"74541";156270;0.18;"A";5;1;67;50;5;"D";24;13
"74550";156286;0.13;"A";5;10;29;100;3;"D";24;0
"74551";156287;1;"D";6;16;41;50;11;"D";24;13
"74558";156299;1;"C";7;21;45;50;5;"E";24;13
"74561";156304;0.34;"D";5;2;49;60;6;"D";82;9
"74571";156323;0.43;"D";4;11;57;72;2;"E";52;6
"74582";156340;0.48;"E";10;12;60;80;5;"D";82;4
"74584";156345;0.16;"C";5;5;63;85;1;"E";52;3
"74594";156360;0.05;"D";5;13;24;80;3;"D";24;4
"74595";156362;1;"D";4;8;68;50;2;"E";24;13
"74606";156383;1;"D";4;8;48;51;6;"E";93;12
"74628";156425;1;"B";6;7;45;50;3;"E";52;13
"74632";156434;0.37;"A";5;9;27;68;3;"E";24;7
"74653";156469;0.1;"C";4;11;34;50;1;"E";11;13
"74660";156480;0.22;"C";4;2;47;50;1;"E";82;13
"74662";156483;0.81;"C";7;3;39;64;1;"D";82;8
"74741";156620;0.75;"E";6;2;33;51;1;"E";53;12
"74774";156679;1;"E";8;12;34;50;13;"E";82;13
"74780";156692;0.66;"A";7;9;49;70;2;"D";52;6
"74793";156714;1;"D";6;7;43;50;2;"D";25;13
"74796";156721;0.13;"B";6;8;30;72;1;"E";53;6
"74819";156763;1;"C";7;4;55;50;1;"D";52;13
"74827";156780;0.3;"C";7;6;50;50;1;"D";24;13
"74834";156791;0.22;"E";7;13;33;106;2;"E";11;-1
"74838";156797;1;"D";6;6;54;50;2;"D";31;13
"74861";156840;0.06;"C";4;9;40;62;1;"E";82;13
"74898";156906;0.37;"D";10;18;46;50;10;"E";24;13
"74922";156954;0.22;"C";4;5;44;50;13;"E";11;13
