"no";"nocontrat";"garantie";"cout"
"23109";23109;126258;"1RC";423.5
"23147";23147;87887;"1RC";-290.99
"23154";23154;141146;"2DO";912.08
"23158";23158;137127;"2DO";82.28
"23171";23171;116497;"4BG";166.11
"23190";23190;166879;"3VI";417.64
"23217";23217;26979;"1RC";-1128.12
"23239";23239;26879;"1RC";-626.19
"23242";23242;147854;"4BG";262.75
"23261";23261;153108;"4BG";225.37
"23276";23276;27056;"4BG";72.03
"23281";23281;137744;"1RC";798.76
"23301";23301;164139;"4BG";191.69
"23321";23321;164139;"4BG";272.32
"23357";23357;45017;"2DO";0
"23359";23359;45017;"3VI";695.63
"23366";23366;140961;"1RC";-690.32
"23406";23406;45138;"4BG";214.23
"23408";23408;45286;"4BG";283.07
"23473";23473;95251;"2DO";576.48
"23475";23475;100022;"1RC";3949.04
"23476";23476;100022;"2DO";1981.05
"23479";23479;47884;"1RC";-170.53
"23506";23506;100022;"1RC";107.57
"23507";23507;100022;"2DO";109.4
"23525";23525;100815;"1RC";0
"23528";23528;70652;"1RC";1128.12
"23529";23529;70652;"2DO";929.38
"23531";23531;70281;"2DO";2327.88
"23541";23541;47675;"4BG";233.73
"23557";23557;128323;"2DO";0
"23559";23559;128323;"3VI";535.05
"23603";23603;100050;"1RC";-2.17
"23618";23618;128323;"4BG";67.73
"23639";23639;161093;"1RC";1388.42
"23646";23646;113314;"4BG";276
"23670";23670;95357;"1RC";1128.12
"23671";23671;95357;"2DO";1436.45
"23673";23673;47904;"1RC";38.78
"23708";23708;100143;"3VI";3933.18
"23712";23712;100104;"1RC";-59.11
"23716";23716;95362;"1RC";109.4
"23740";23740;164145;"2DO";632.91
"23748";23748;70417;"1RC";-120.4
"23753";23753;70674;"1RC";0
"23756";23756;95251;"4BG";131.91
"23771";23771;47924;"4BG";286.64
"23775";23775;113314;"1RC";4074.95
"23787";23787;95268;"1RC";3689.49
"23807";23807;29878;"1RC";1987.24
"23819";23819;70192;"1RC";356.36
"23870";23870;28615;"1RC";1128.12
"23871";23871;28615;"2DO";1565.68
"23877";23877;28548;"4BG";163.32
"23889";23889;28517;"4BG";450.03
"23897";23897;28462;"1RC";65.27
"23898";23898;170361;"4BG";232.45
"23900";23900;29042;"1RC";-219.62
"23905";23905;18783;"4BG";291.42
"23916";23916;29215;"1RC";-210.87
"23925";23925;17125;"1RC";1128.12
"23926";23926;17125;"2DO";0
"23938";23938;29076;"1RC";681.62
"23959";23959;172755;"1RC";1128.12
"23960";23960;172755;"2DO";1523.51
"23962";23962;29215;"4BG";164.5
"23978";23978;172755;"1RC";154.68
"23979";23979;172755;"2DO";70.74
"23982";23982;81636;"1RC";-169.14
"24018";24018;171063;"1RC";-821.11
"24030";24030;177515;"1RC";1128.12
"24031";24031;177515;"2DO";1593.98
"24034";24034;173467;"1RC";-282.61
"24037";24037;81230;"4BG";333.66
"24044";24044;27746;"4BG";184.91
"24070";24070;95268;"2DO";101.12
"24081";24081;95268;"3VI";403.3
"24086";24086;81190;"1RC";-3.84
"24103";24103;169905;"1RC";0
"24114";24114;169905;"2DO";987.68
"24120";24120;151559;"1RC";552.28
"24130";24130;151559;"1RC";-175.62
"24131";24131;151559;"2DO";386.21
"24168";24168;43864;"1RC";1128.12
"24178";24178;139439;"2DO";2737.67
"24190";24190;43947;"4BG";229.43
"24206";24206;131594;"2DO";1387.84
"24234";24234;22380;"1RC";-719.93
"24238";24238;22364;"1RC";914.09
"24243";24243;39143;"1RC";427.65
"24266";24266;126088;"4BG";296.62
"24299";24299;39319;"1RC";1128.12
"24318";24318;28093;"4BG";215.25
"24347";24347;155302;"1RC";-582.52
"24410";24410;176990;"2DO";900.61
"24415";24415;66636;"3VI";350.26
"24428";24428;66742;"2DO";1007.47
"24431";24431;67042;"1RC";2615.98
"24432";24432;67042;"2DO";350.02
"24452";24452;66633;"1RC";-1064.85
"24458";24458;51620;"1RC";-1128.12
"24469";24469;51620;"2DO";-573.93
"24533";24533;54859;"2DO";273.9
"24537";24537;174250;"2DO";0
"24538";24538;174250;"3VI";49.88
"24576";24576;54835;"4BG";104.38
"24587";24587;177326;"1RC";-856.52
"24588";24588;177326;"2DO";0
"24626";24626;146550;"1RC";1128.12
"24627";24627;146550;"2DO";3482.18
"24645";24645;145452;"1RC";1128.12
"24652";24652;54801;"1RC";1128.12
"24694";24694;23261;"4BG";359.63
"24698";24698;42189;"4BG";235.68
"24711";24711;100742;"4BG";249.52
"24766";24766;41996;"1RC";74.38
"24786";24786;166398;"4BG";424.91
"24817";24817;143592;"2DO";10108.13
"24828";24828;178211;"1RC";1128.12
"24829";24829;178211;"2DO";0
"24842";24842;169974;"1RC";438.41
"24859";24859;49568;"1RC";3538.48
"24864";24864;49971;"1RC";1128.12
"24868";24868;128578;"1RC";0.0099999999999909
"24892";24892;129313;"1RC";-64.3
"24894";24894;151853;"4BG";82.53
"24925";24925;160973;"1RC";-411.78
"24934";24934;49828;"1RC";439.6
"24936";24936;49828;"2DO";0
"24966";24966;150694;"1RC";1128.12
"24967";24967;150694;"2DO";1071.41
"25013";25013;126216;"1RC";-503.48
"25031";25031;49732;"2DO";1586.96
"25037";25037;134112;"1RC";2007.8
"25051";25051;153414;"1RC";1128.12
"25052";25052;153414;"2DO";199.52
"25061";25061;160639;"2DO";12581.6
"25081";25081;139162;"2DO";0
"25089";25089;50485;"1RC";1128.12
"25091";25091;50485;"2DO";1774.35
"25111";25111;167754;"4BG";136.02
"25132";25132;126317;"4BG";253.32
"25133";25133;49933;"3VI";672.57
"25143";25143;49809;"4BG";337.96
"25154";25154;49394;"4BG";316.56
"25195";25195;49939;"1RC";1128.12
"25196";25196;49939;"2DO";402.89
"25202";25202;82946;"1RC";1128.12
"25204";25204;130231;"3VI";158.07
"25205";25205;130231;"4BG";88.88
"25210";25210;143530;"1RC";-499.52
"25227";25227;50485;"1RC";494.58
"25228";25228;50485;"2DO";0
"25235";25235;138155;"2DO";2147.61
"25306";25306;49163;"2DO";923.68
"25308";25308;49229;"2DO";432.89
"25312";25312;50206;"3VI";822.15
"25335";25335;22797;"1RC";0
"25346";25346;22797;"2DO";1983.74
"25348";25348;49196;"1RC";1220.25
"25350";25350;50045;"1RC";1128.12
"25351";25351;50045;"2DO";1145.05
"25354";25354;170173;"1RC";1117.55
"25366";25366;50387;"1RC";0
"25416";25416;75233;"4BG";234.98
"25473";25473;75318;"4BG";88.46
"25493";25493;63485;"4BG";418.94
"25494";25494;63289;"3VI";986.29
"25538";25538;63010;"2DO";562.08
"25577";25577;63096;"2DO";801.95
"25578";25578;63096;"3VI";1684.86
"25611";25611;94008;"1RC";1128.12
"25616";25616;82119;"4BG";207.32
"25698";25698;65988;"2DO";2707.74
"25704";25704;141091;"1RC";1128.12
"25705";25705;141091;"2DO";0
"25740";25740;48165;"2DO";1326.22
"25818";25818;152027;"4BG";402.6
"25847";25847;32883;"1RC";-663.92
"25917";25917;32905;"4BG";233.65
"25930";25930;125395;"4BG";130.52
"25966";25966;66833;"4BG";203.89
"26030";26030;170513;"3VI";401.76
"26032";26032;35404;"4BG";243.52
"26043";26043;167456;"2DO";644.85
"26062";26062;133381;"4BG";259.41
"26092";26092;130565;"1RC";230.28
"26093";26093;130565;"2DO";71.81
"26128";26128;130640;"1RC";-1011.98
"26180";26180;36861;"2DO";3655.84
"26181";26181;36861;"3VI";533.57
"26182";26182;36861;"4BG";0
"26185";26185;102844;"1RC";-412.76
"26239";26239;36861;"4BG";262.04
"26252";26252;168419;"4BG";259.15
"26269";26269;158846;"4BG";117.6
"26289";26289;36694;"4BG";139.79
"26296";26296;126164;"4BG";398.57
"26325";26325;146028;"1RC";1128.12
"26326";26326;146028;"2DO";2838.73
"26349";26349;37025;"1RC";77.49
"26353";26353;36973;"2DO";199.76
"26376";26376;160777;"1RC";-649.37
"26386";26386;36507;"1RC";-28.82
"26387";26387;160777;"2DO";6.8
"26402";26402;108767;"1RC";1128.12
"26421";26421;48633;"1RC";564.06
"26426";26426;36988;"1RC";1128.12
"26433";26433;36562;"2DO";457.35
"26434";26434;36562;"3VI";2760.98
"26465";26465;136140;"1RC";3420.11
"26476";26476;136140;"2DO";969.37
"26480";26480;162311;"1RC";1128.12
"26481";26481;162311;"2DO";0
"26482";26482;18134;"1RC";5468.42
"26483";26483;18134;"2DO";2193.19
"26496";26496;22176;"2DO";643.32
"26498";26498;140694;"2DO";248.12
"26507";26507;151144;"1RC";706.12
"26508";26508;151144;"2DO";29.46
"26509";26509;168582;"1RC";0
"26520";26520;37237;"1RC";177.38
"26522";26522;37237;"2DO";20.62
"26540";26540;50856;"1RC";1128.12
"26541";26541;50856;"2DO";0
"26558";26558;155302;"1RC";-358.39
"26574";26574;164703;"4BG";161.98
"26620";26620;168582;"2DO";-270.21
"26630";26630;155302;"4BG";88.89
"26642";26642;51409;"1RC";-158.89
"26653";26653;51196;"1RC";1781.87
"26654";26654;44649;"1RC";-137.33
"26676";26676;89088;"1RC";-1128.12
"26687";26687;89088;"2DO";304.49
"26693";26693;131161;"1RC";1128.12
"26694";26694;131161;"2DO";3714.26
"26697";26697;56237;"1RC";42.16
"26710";26710;154831;"1RC";779.42
"26725";26725;39724;"2DO";533.47
"26735";26735;39834;"4BG";297.13
"26790";26790;39937;"4BG";202.13
"26792";26792;40100;"1RC";-537.43
"26794";26794;39834;"2DO";512.15
"26798";26798;147717;"1RC";1220.45
"26809";26809;147717;"2DO";1493.23
"26815";26815;40021;"4BG";113.73
"26830";26830;146560;"2DO";760.36
"26832";26832;146560;"3VI";26.54
"26838";26838;40100;"1RC";-755.75
"26843";26843;25755;"2DO";485.48
"26868";26868;171010;"1RC";1128.12
"26869";26869;171010;"2DO";121.51
"26887";26887;40025;"1RC";1067.17
"26900";26900;106795;"4BG";214.11
"26913";26913;66365;"4BG";141.44
"26925";26925;86647;"1RC";-574.35
"26929";26929;86684;"4BG";242.64
"26939";26939;66155;"1RC";1530.8
"26948";26948;86647;"4BG";145.87
"26951";26951;66334;"1RC";2027.93
"26961";26961;86738;"4BG";247.47
"26967";26967;66294;"1RC";-335.6
"26975";26975;90472;"2DO";0
"26985";26985;66235;"2DO";162.58
"26986";26986;90472;"3VI";240.71
"26987";26987;66235;"4BG";136.68
"26999";26999;86684;"4BG";348.78
"27009";27009;175145;"4BG";299.61
"27014";27014;66235;"2DO";1293.59
"27040";27040;39463;"1RC";113.96
"27043";27043;87716;"2DO";1029.73
"27064";27064;156000;"1RC";102.14
"27110";27110;22565;"4BG";340.28
"27127";27127;177900;"1RC";4047.64
"27128";27128;177900;"2DO";2007.8
"27138";27138;170977;"4BG";453.81
"27159";27159;30571;"2DO";2118.13
"27160";27160;30571;"6CL";0
"27179";27179;30441;"1RC";1128.12
"27186";27186;167754;"1RC";-837.24
"27187";27187;29832;"1RC";-1261.68
"27188";27188;29832;"2DO";1335.72
"27191";27191;29615;"4BG";122.02
"27193";27193;29694;"1RC";1208.7
"27195";27195;29615;"2DO";66.64
"27243";27243;160844;"1RC";292.14
"27250";27250;19265;"2DO";524.55
"27254";27254;87435;"1RC";1128.12
"27276";27276;87526;"4BG";58.2
"27299";27299;29993;"1RC";1128.12
"27300";27300;29993;"2DO";818.63
"27301";27301;30187;"1RC";0
"27315";27315;30243;"4BG";127.26
"27333";27333;30088;"4BG";0
"27334";27334;151232;"2DO";1211.58
"27395";27395;39620;"1RC";1128.12
"27450";27450;139449;"4BG";181.77
"27460";27460;51947;"4BG";226.78
"27461";27461;52427;"1RC";1128.12
"27468";27468;172222;"4BG";398.78
"27474";27474;145841;"4BG";593.83
"27478";27478;168239;"1RC";1292.33
"27479";27479;168239;"2DO";824.09
"27499";27499;52788;"4BG";70.6
"27510";27510;174570;"1RC";0
"27521";27521;143758;"1RC";1128.12
"27522";27522;143758;"4BG";139.69
"27567";27567;52886;"1RC";-267.43
"27568";27568;52886;"2DO";13.36
"27608";27608;128652;"4BG";85.25
"27614";27614;52886;"4BG";290.69
"27629";27629;136726;"4BG";150.69
"27636";27636;160206;"2DO";111.4
"27649";27649;52060;"1RC";4329.55
"27650";27650;52060;"2DO";2953.38
"27669";27669;146004;"2DO";0
"27702";27702;154202;"1RC";1827.2
"27740";27740;166537;"4BG";195.97
"27757";27757;52106;"4BG";104.43
"27794";27794;168239;"1RC";-946.15
"27796";27796;168239;"2DO";0
"27801";27801;158869;"1RC";500.65
"27836";27836;166669;"2DO";512.11
"27848";27848;140697;"4BG";462.28
"27880";27880;51728;"4BG";104.34
"27907";27907;52587;"1RC";286.7
"27964";27964;146004;"1RC";1128.12
"27965";27965;146004;"2DO";846.85
"27984";27984;30125;"1RC";1128.12
"28009";28009;144113;"4BG";427.11
"28037";28037;140669;"4BG";291.92
"28061";28061;167732;"1RC";1128.12
"28063";28063;159753;"1RC";1128.12
"28064";28064;159753;"2DO";818.77
"28079";28079;106309;"4BG";320.9
"28091";28091;157400;"2DO";67.52
"28092";28092;157400;"3VI";365.88
"28140";28140;157178;"1RC";194.4
"28144";28144;33201;"1RC";1303.48
"28145";28145;33201;"2DO";204.07
"28148";28148;33243;"1RC";1128.12
"28155";28155;171081;"4BG";53.06
"28172";28172;167732;"2DO";3869.89
"28196";28196;158817;"2DO";13999.27
"28197";28197;158817;"5CO";152449.02
"28198";28198;83555;"1RC";600.63
"28199";28199;83555;"2DO";5786.59
"28250";28250;77439;"4BG";255.81
"28268";28268;83542;"4BG";171.65
"28323";28323;80227;"4BG";80.88
"28332";28332;131356;"4BG";269.7
"28333";28333;127039;"2DO";1882.25
"28358";28358;163029;"4BG";177.59
"28370";28370;138670;"4BG";57.41
"28375";28375;80273;"2DO";530.28
"28401";28401;35515;"1RC";1128.12
"28410";28410;85565;"4BG";374.01
"28421";28421;128379;"1RC";-25.87
"28427";28427;128379;"2DO";1954.87
"28453";28453;35508;"4BG";290.38
"28492";28492;21384;"2DO";648.48
"28506";28506;60538;"2DO";4429.81
"28524";28524;35702;"1RC";1128.12
"28530";28530;134311;"1RC";736.13
"28533";28533;35700;"2DO";3932.22
"28554";28554;149005;"4BG";143.44
"28580";28580;84539;"1RC";0
"28617";28617;25489;"1RC";1009.69
"28628";28628;25489;"2DO";429.68
"28675";28675;170818;"4BG";205.44
"28688";28688;174956;"4BG";130.21
"28713";28713;174956;"2DO";456.46
"28732";28732;97930;"4BG";512.77
"28752";28752;90338;"4BG";111.32
"28780";28780;169905;"1RC";1128.12
"28781";28781;169905;"2DO";0
"28794";28794;38771;"4BG";150.07
"28810";28810;159116;"4BG";68.54
"28815";28815;98092;"1RC";-857.29
"28849";28849;127149;"3VI";311.18
"28896";28896;89306;"1RC";-922.63
"28952";28952;156090;"1RC";1128.12
"28953";28953;156090;"2DO";0
"28972";28972;145225;"1RC";-464.78
"28999";28999;25972;"3VI";65.48
"29003";29003;134799;"3VI";424.28
"29013";29013;177258;"2DO";707.19
"29016";29016;61782;"1RC";1128.12
"29024";29024;82515;"1RC";2410.01
"29025";29025;82515;"2DO";141.15
"29030";29030;82326;"1RC";90.96
"29050";29050;157974;"4BG";77.33
"29056";29056;25813;"4BG";164.55
"29059";29059;70976;"4BG";158.23
"29062";29062;177813;"4BG";168.96
"29082";29082;25826;"4BG";117.75
"29085";29085;82372;"1RC";-223.82
"29089";29089;71014;"4BG";187.95
"29129";29129;25755;"1RC";2081.53
"29224";29224;67301;"2DO";266.63
"29234";29234;165095;"4BG";310.77
"29235";29235;67301;"3VI";3126.1
"29268";29268;127039;"2DO";677.85
"29321";29321;168009;"1RC";1194.59
"29322";29322;168009;"2DO";3305.67
"29361";29361;17104;"4BG";155.35
"29390";29390;77263;"2DO";287.82
"29432";29432;40503;"4BG";137.61
"29453";29453;133779;"2DO";96.1
"29460";29460;138593;"3VI";157.69
"29464";29464;91213;"1RC";0
"29465";29465;91213;"2DO";1681.3
"29480";29480;40523;"4BG";269.85
"29500";29500;77397;"1RC";0
"29510";29510;134466;"1RC";1128.12
"29512";29512;134466;"2DO";0
"29532";29532;91375;"2DO";2767.37
"29539";29539;136166;"4BG";187.37
"29541";29541;91328;"1RC";1198.86
"29542";29542;91328;"2DO";772.22
"29560";29560;132865;"1RC";70.75
"29595";29595;91375;"2DO";3185.88
"29606";29606;76582;"2DO";0
"29610";29610;77397;"2DO";-90.42
"29623";29623;76644;"4BG";248.84
"29625";29625;76677;"1RC";4124.08
"29629";29629;76582;"2DO";639.55
"29630";29630;76662;"2DO";257.87
"29642";29642;34195;"1RC";77.12
"29646";29646;76582;"2DO";990.37
"29651";29651;76728;"1RC";-734.12
"29660";29660;34165;"4BG";259.63
"29686";29686;69098;"1RC";1128.12
"29692";29692;99670;"1RC";1128.12
"29719";29719;116150;"2DO";821.53
"29720";29720;116150;"3VI";0
"29829";29829;88914;"1RC";16344.79
"29844";29844;134523;"4BG";208.63
"29867";29867;99762;"1RC";1079.08
"29888";29888;50049;"4BG";232.11
"29903";29903;116358;"4BG";115.15
"29905";29905;112860;"1RC";1128.12
"29917";29917;116387;"1RC";1128.12
"29929";29929;121527;"2DO";5303.76
"29967";29967;153223;"1RC";346.44
"30000";30000;169135;"4BG";225.38
"30002";30002;127675;"4BG";433.22
"30039";30039;59327;"1RC";1128.12
"30040";30040;59327;"2DO";749.01
"30050";30050;59755;"4BG";60.1
"30058";30058;59499;"3VI";47.1
"30066";30066;36054;"4BG";200.22
"30072";30072;175630;"3VI";39.41
"30090";30090;59499;"1RC";2523.49
"30091";30091;59499;"2DO";2271.7
"30094";30094;59723;"1RC";-265.91
"30108";30108;59327;"1RC";1228.12
"30109";30109;59327;"2DO";2445.75
"30133";30133;65730;"3VI";1181.6
"30144";30144;65476;"4BG";174.38
"30205";30205;92950;"4BG";339.75
"30209";30209;92950;"2DO";1449.09
"30218";30218;145839;"4BG";230.09
"30220";30220;145839;"1RC";72.57
"30222";30222;93111;"4BG";198.48
"30250";30250;38838;"1RC";766.05
"30255";30255;38838;"4BG";57.42
"30302";30302;64847;"1RC";-148.03
"30340";30340;65026;"4BG";345.14
"30351";30351;38838;"2DO";228.52
"30352";30352;38838;"3VI";6448.59
"30362";30362;38942;"4BG";348.91
"30372";30372;174512;"1RC";258.28
"30374";30374;65194;"4BG";54.84
"30405";30405;148961;"1RC";1128.12
"30406";30406;148961;"2DO";719.5
"30421";30421;60538;"4BG";202.91
"30452";30452;42748;"1RC";0
"30453";30453;42748;"2DO";766.3
"30474";30474;18799;"4BG";252.97
"30485";30485;77508;"1RC";-383.5
"30486";30486;104472;"1RC";564.06
"30488";30488;104472;"2DO";875.54
"30516";30516;94144;"2DO";405.57
"30519";30519;104528;"1RC";1128.12
"30523";30523;77610;"1RC";294.08
"30564";30564;104499;"1RC";171.04
"30566";30566;104499;"2DO";0
"30567";30567;177107;"4BG";287.7
"30571";30571;94185;"1RC";-71.75
"30579";30579;94103;"2DO";589.06
"30593";30593;94185;"3VI";6128.45
"30600";30600;94216;"1RC";1422.04
"30608";30608;77620;"1RC";-259.39
"30620";30620;94200;"4BG";359.17
"30632";30632;98809;"1RC";1282.77
"30639";30639;20319;"1RC";402.79
"30657";30657;143159;"4BG";292.46
"30658";30658;20319;"2DO";503.35
"30681";30681;127450;"2DO";699.59
"30692";30692;165951;"1RC";1128.12
"30693";30693;165951;"2DO";0
"30700";30700;142388;"4BG";63.82
"30704";30704;24771;"1RC";57.74
"30715";30715;160710;"4BG";409.94
"30729";30729;137391;"4BG";312.59
"30739";30739;20674;"4BG";165.34
"30752";30752;16642;"1RC";-471.71
"30793";30793;143065;"3VI";59.61
"30794";30794;143065;"4BG";132.33
"30795";30795;148185;"4BG";264.73
"30803";30803;24771;"4BG";244.11
"30811";30811;24869;"4BG";348.79
"30831";30831;164383;"2DO";406.85
"30852";30852;142388;"1RC";-643.79
"30858";30858;144084;"2DO";355.74
"30859";30859;24992;"1RC";1128.12
"30860";30860;24992;"2DO";72.39
"30867";30867;125855;"4BG";256.31
"30876";30876;50856;"2DO";148.68
"30893";30893;148005;"2DO";451.59
"30896";30896;24992;"1RC";1128.12
"30897";30897;24992;"2DO";0
"30907";30907;113450;"4BG";503.63
"30915";30915;109575;"1RC";-167.94
"30916";30916;25044;"4BG";160.14
"30925";30925;25489;"4BG";323.51
"30948";30948;177150;"1RC";-585.52
"30949";30949;177150;"2DO";84.97
"30955";30955;25472;"1RC";84.97
"30957";30957;169916;"4BG";254.27
"30978";30978;83263;"1RC";1428.12
"31012";31012;83348;"1RC";-207.25
"31054";31054;131279;"1RC";0
"31062";31062;63762;"6CL";2075.11
"31065";31065;131279;"2DO";1709.33
"31113";31113;103525;"2DO";651.21
"31125";31125;103702;"1RC";1128.12
"31129";31129;111900;"1RC";1129.17
"31147";31147;1154828;"1RC";1909.17
"31148";31148;1154828;"3VI";0
"31149";31149;1161205;"1RC";1128.12
"31150";31150;1161205;"2DO";1756.38
"31162";31162;1130061;"2DO";-43.13
"31173";31173;1178767;"1RC";0
"31180";31180;1152738;"4BG";157.96
"31201";31201;1130061;"2DO";10198.87
"31233";31233;1060414;"1RC";-724.81
"31251";31251;1060727;"4BG";224.51
"31262";31262;1078126;"1RC";1128
"31264";31264;1078126;"2DO";1703.79
"31280";31280;1078126;"1RC";1398.55
"31281";31281;1078126;"2DO";851.91
"31333";31333;1078172;"3VI";121.96
"31334";31334;1078172;"4BG";307.92
"31341";31341;66036;"4BG";120.52
"31345";31345;1060776;"4BG";309.59
"31358";31358;1060504;"4BG";351.27
"31405";31405;1060645;"4BG";205.24
"31406";31406;1060798;"2DO";5269.33
"31440";31440;1037708;"4BG";232.19
"31452";31452;175145;"1RC";1128.12
"31463";31463;175145;"2DO";2332.67
"31467";31467;1037868;"4BG";364.94
"31471";31471;1017896;"2DO";456.7
"31473";31473;1175344;"4BG";435.13
"31477";31477;1038038;"1RC";1128.12
"31507";31507;1175344;"1RC";1128
"31546";31546;1111996;"1RC";1128.12
"31605";31605;1068534;"1RC";-722.43
"31617";31617;1068408;"1RC";-203.7
"31630";31630;174888;"2DO";208.84
"31647";31647;1112096;"1RC";85.96
"31657";31657;1068841;"1RC";-149.51
"31658";31658;1068841;"2DO";255.01
"31682";31682;1068748;"4BG";84.03
"31690";31690;1101152;"4BG";209.68
"31691";31691;1111935;"4BG";136.61
"31694";31694;1112086;"1RC";85.96
"31744";31744;1092433;"1RC";718.85
"31754";31754;1026160;"3VI";602.88
"31762";31762;1163379;"2DO";1862.41
"31765";31765;1092627;"4BG";534.23
"31778";31778;1130194;"4BG";87.52
"31786";31786;1130194;"4BG";98.98
"31789";31789;1157967;"1RC";0
"31790";31790;1157967;"2DO";0
"31832";31832;1143552;"1RC";-883.66
"31836";31836;1073737;"2DO";276.31
"31860";31860;1170763;"1RC";-296.89
"31870";31870;1073556;"1RC";1128
"31871";31871;1073556;"2DO";0
"31875";31875;156362;"1RC";229.59
"31886";31886;156362;"2DO";0
"31911";31911;1154687;"1RC";-92.3
"31916";31916;1073403;"1RC";-854.07
"31924";31924;1165454;"4BG";338.23
"31950";31950;1062603;"2DO";76.58
"31953";31953;25044;"2DO";239.87
"31972";31972;1079466;"1RC";-559.4
"32000";32000;1098751;"2DO";97.55
"32001";32001;1098751;"3VI";1431.41
"32031";32031;1079145;"1RC";1128.12
"32032";32032;1079145;"2DO";1640.41
"32048";32048;1079397;"1RC";1128.12
"32049";32049;1062818;"1RC";370.76
"32050";32050;1062818;"2DO";0
"32071";32071;1079373;"2DO";1487.4
"32080";32080;1098437;"3VI";138.63
"32103";32103;1078965;"1RC";834.39
"32127";32127;1079466;"1RC";826.68
"32130";32130;57552;"2DO";1724.72
"32138";32138;1087963;"1RC";858.82
"32177";32177;1062879;"1RC";2203.4
"32178";32178;1062879;"2DO";0
"32201";32201;1079475;"2DO";65.27
"32242";32242;1087963;"1RC";1128
"32247";32247;1079466;"4BG";139.66
"32250";32250;1062741;"4BG";48.67
"32268";32268;1098618;"4BG";95.35
"32295";32295;1123749;"1RC";0
"32296";32296;1123749;"2DO";134.43
"32299";32299;1079301;"1RC";0
"32300";32300;1079301;"2DO";0
"32302";32302;1062783;"1RC";-738.88
"32310";32310;1035070;"1RC";3050.25
"32318";32318;1101786;"3VI";2076.62
"32328";32328;1076150;"1RC";567.13
"32332";32332;1076014;"1RC";1128.12
"32333";32333;1076014;"2DO";0
"32338";32338;1076255;"1RC";695.98
"32348";32348;1163274;"4BG";347.02
"32351";32351;1035261;"2DO";2162.25
"32353";32353;1035261;"3VI";0
"32364";32364;1076172;"1RC";871.47
"32383";32383;1101711;"1RC";876.38
"32385";32385;149108;"1RC";-806.83
"32400";32400;1076298;"1RC";1128.12
"32416";32416;1165467;"1RC";1128.12
"32418";32418;1076014;"4BG";227.33
"32422";32422;1075864;"3VI";648.79
"32427";32427;1035261;"3VI";741.56
"32429";32429;1117871;"4BG";336.52
"32450";32450;1035208;"1RC";794.89
"32464";32464;1172171;"3VI";0
"32465";32465;1172171;"4BG";0
"32474";32474;28928;"1RC";245.99
"32492";32492;1172171;"4BG";0
"32502";32502;1076176;"1RC";89
"32540";32540;1163474;"4BG";252.34
"32558";32558;1086280;"4BG";387.65
"32588";32588;1067525;"3VI";334.45
"32634";32634;1067346;"1RC";84.05
"32636";32636;1086105;"4BG";227.28
"32647";32647;1067504;"4BG";261.54
"32648";32648;1111559;"2DO";611.38
"32673";32673;1111671;"3VI";0
"32709";32709;1111671;"1RC";8722.06
"32710";32710;1111671;"5CO";670.17
"32755";32755;1120571;"4BG";231.86
"32765";32765;1176267;"4BG";245.13
"32768";32768;1135475;"1RC";-354.18
"32781";32781;1133828;"2DO";10704.77
"32782";32782;1126265;"4BG";419.34
"32786";32786;1041374;"4BG";106.49
"32815";32815;1170198;"4BG";246.99
"32844";32844;1169947;"1RC";380.11
"32919";32919;1075739;"1RC";1128.12
"32923";32923;1172754;"4BG";218.51
"32924";32924;1138947;"4BG";201.1
"32949";32949;1107055;"1RC";1402.87
"32950";32950;1107055;"2DO";1374.51
"32952";32952;1075629;"4BG";90.69
"32971";32971;1041245;"1RC";1128.12
"32972";32972;1041245;"2DO";2328.12
"32977";32977;1107055;"4BG";363.87
"32979";32979;1041406;"1RC";1373.24
"32983";32983;1041410;"1RC";1128.12
"32984";32984;1179450;"2DO";909.85
"33001";33001;1133867;"1RC";1128.12
"33008";33008;45886;"1RC";0
"33012";33012;1107055;"4BG";78.01
"33021";33021;1075659;"1RC";1128
"33022";33022;1075659;"2DO";906.19
"33068";33068;1041406;"4BG";468.13
"33071";33071;1161900;"1RC";744.88
"33088";33088;1092190;"2DO";150.34
"33089";33089;1092190;"3VI";1247.06
"33100";33100;1092176;"1RC";1128.12
"33153";33153;1058909;"2DO";0
"33171";33171;1120822;"1RC";1356.79
"33172";33172;1120822;"2DO";2467.13
"33179";33179;1088753;"1RC";1098.02
"33183";33183;1104207;"4BG";254.55
"33192";33192;1104349;"3VI";456.99
"33216";33216;1115216;"4BG";0
"33223";33223;1158561;"2DO";1879.91
"33256";33256;1058872;"1RC";-785.03
"33261";33261;1120952;"1RC";2906.15
"33266";33266;1058817;"4BG";72.33
"33285";33285;1092362;"4BG";249.53
"33296";33296;1115216;"4BG";195.06
"33306";33306;1092160;"2DO";366.78
"33319";33319;17037;"4BG";203.73
"33359";33359;1173386;"4BG";110.05
"33363";33363;143092;"3VI";860.77
"33371";33371;1115216;"4BG";122.79
"33422";33422;1124142;"1RC";0
"33434";33434;1078329;"4BG";89.11
"33505";33505;1078510;"4BG";350.27
"33518";33518;1158561;"1RC";91.64
"33539";33539;1124232;"2DO";885.56
"33552";33552;177167;"2DO";5272.07
"33576";33576;1034886;"4BG";68.01
"33579";33579;1034886;"4BG";170.7
"33581";33581;1074112;"1RC";0
"33582";33582;1074112;"2DO";1751.34
"33600";33600;1074407;"1RC";-479
"33601";33601;1139288;"4BG";277.63
